title,address1,address2,city,state,zipcode,country,website,phone,tags,latitude,longitude
CRUSH MARKETPLACE,14 MILL STREET,,ALMONTE,ON,K0A1A0,CANADA,,,,45.226049,-76.194528
CT WEEKENDS ,437 DANIELS STREET,CAMERON VILLAGE,RALEIGH,NC,27605,USA,,,,35.790018,-78.661576
"CTGRACE, A BOUTIQUE",122 EAST MAIN ST,,FRANKLIN,TN,37064,USA,,,,35.926511,-86.866613
CYRESE & CO,4570 KINGWOOD DR ,SUITE A,KINGWOOD,TX,77345,USA,,,,30.050137,-95.182233
DAISIES MERCANTILE,1347 PARK ST,,ALAMEDA,CA,94501,USA,,510-522-6443,,37.76374,-122.243397
DAMSELS,413 FITZWILLIAM ST,,NANAIMO,BC,V9R 3A9,CANADA,,,,49.165253,-123.942093
DANDELION & BURDOCK,121 W. LINCOLN AVE.,,FERGUS FALLS,MN,56537,USA,,,,46.283312,-96.075402
DANNI NICOLES ,119 N MAIN ST,,HANNIBAL,MO,63401,USA,,573-221-5066,,39.709783,-91.355977
DARRYL'S,155 MAIN STREET,,BEACON,NY,12508,USA,,,,41.508195,-73.976015
DAVID JONES FASHIONS,5005 S WESTERN AVE,SUITE 130,SIOUX FALLS,SD,57108,USA,,605.338-7300,,43.499561,-96.749523
DAVID LINDSEY CLOTHIER,223 MAIN ST,,GREENWOOD,SC,29646,USA,,864-229-8/004,,34.191152,-82.160383
DEAR MYRA BOUTIQUE,3520 VILLAGE DRIVE SUITE 550,,LINCOLN,NE,68516,USA,,,,40.754532,-96.669721
DEAR MYRA BOUTIQUE,7500 HIDDEN VALLY DRIVE,,LINCOLN,NE,68526,USA,,402-217-6485,,40.735616,-96.56519
DEASEE'S BOUTIQUE,115 WEST OCEAN AVE,,LOMPOC,CA,93436,USA,,805-430-8396,,34.639177,-120.458338
DEJA NU BOUTIQUE,207 E 2ND ST.,,LAMPASAS,TX,76550,USA,,512-566-6545,,31.065984,-98.181701
DEKADE,444 HOLLANDVIEW TRAIL,,AURORA,ON,L4G 7Z9,CANADA,,,,44.015622,-79.4484
DENA'S BOUTIQUE,D 105 - 20159  88 TH AVENUE,,LANGLEY,BC,V1M 0A4,CANADA,,,,49.166161,-122.663475
DENA'S SHOP ON THE CORNER,123 S. HEMLOCK,SUITE #101,CANNON BEACH,OR,97110,USA,,,,45.896436,-123.960728
DENISE,MAPLEVIEW SHOPPING CENTRE,,BURLINGTON,ON,L7S 2J8,CANADA,,,,43.323,-79.8092
DENISE HAJJAR BOUTIQUE,304 VICTORY RD,,QUINCY,MA,2171,USA,,,,42.299122,-71.029536
DETAILS AT HOME,309 - 3907 8TH ST. E,,SASKATOON,SK,S7H 5M7,CANADA,,,,52.114295,-106.664314
DIDI'S BOUTIQUE,"150 BIRCH AVENUE, 100 MILE HOUSE",,MILE HOUSE,BC,V0K 2E0,CANADA,,,,51.645768,-121.295159
DILLARDS,6900 EAST CAMELBACK ROAD,,SCOTTSDALE,AZ,85251,USA,,(480) 949-5869,,33.503834,-111.933171
DILLARDS,3101 WEST CHANDLER BLVD,,CHANDLER,AZ,85226,USA,,(480) 735-2060,,33.303594,-111.896552
DILLARDS,6545 E. SOUTHERN AVE,,MESA,AZ,85206,USA,,(480) 832-1247,,33.390592,-111.688091
DILLARDS,3100 GATEWAY BOULEVARD,,PRESCOTT,AZ,86303,USA,,(928) 717-1270,,34.549159,-112.410384
DILLARDS,5501 HIGHWAY 95 NORTH,,LAKE HAVASU CITY,AZ,86404,USA,,(928) 764-1200,,34.566687,-114.367384
DILLARDS,5890 EAST BROADWAY BLVD,,TUCSON,AZ,85711,USA,,(520) 747-4700,,32.218304,-110.863549
DILLARDS,4550 NORTH ORACLE RD,,TUCSON,AZ,85705,USA,,(520) 293-4550,,32.289931,-110.974735
DILLARDS,4700 US HIGHWAY 89 NORTH,,FLAGSTAFF,AZ,86004,USA,,(928) 526-5541,,35.222815,-111.58106
DILLARDS,2100 LOUISIANA BLVD NE ,STE 155,ALBUQUERQUE,NM,87110,USA,,(505) 883-5900,,35.099417,-106.567321
DILLARDS,8401 GATEWAY WEST,,EL PASO,TX,79925,USA,,(915) 779-6969,,31.773452,-106.37709
DILLARDS,1850 E. RED CLIFFS DRIVE,,ST. GEORGE,UT,84790,USA,,(435) 634-4900,,37.11656,-113.543859
DILLARDS,6191 S STATE ST.,,MURRAY,UT,84107,USA,,(801) 266-2006,,40.637082,-111.885096
DILLARDS,1201 N. HILL FIELD RD,,LAYTON,UT,84041,USA,,(801) 315-2138,,41.078145,-111.976256
DILLARDS,350 NORTH MILWAUKEE,,BOISE,ID,83704,USA,,(208) 321-4646,,43.607553,-116.278904
DILLARDS,2901 BROOKS ST,,MISSOULA,MT,59801,USA,,(406) 721-3100,,46.847757,-114.027422
DILLARDS,320 S. 24TH ST. WEST,,BILLINGS,MT ,59102,USA,,(406) 656-0100,,45.763214,-108.577296
DILLARDS,1320 W. SUNSET RD.,,HENDERSON,NV,89014,USA,,(702) 435-6300,,36.066722,-115.044544
DILLARDS,11011 SAGE PARK DRIVE,,LAS VEGAS,NV,89135,USA,,(702) 473-6712,,36.1477,-115.333087
DILLARDS,13933 S. VIRGINIA ST.,,RENO,NV,89511,USA,,(775) 852-3080,,39.404547,-119.752819
DILLARDS,8415 PARK MEADOWS CENTER DR.,,LONE TREE,CO,80124,USA,,(303) 790-0100,,39.563897,-104.878133
DILLARDS,8501 W BOWLES ,STE 2D657,LITTLETON,CO,80123,USA,,(303) 979-6111,,39.610755,-105.095587
DILLARDS,41 W FLATIRON CIR,,BROOMFIELD,CO,80021,USA,,(303) 464-3900,,39.929958,-105.135006
DILLARDS,1400 DELL RANGE BLVD.,,CHEYENNE,WY,82009,USA,,(307) 632-2224,,41.162097,-104.805383
DILLARDS,543 E. UNIVERSITY PARKWAY,,OREM,UT,84097,USA,,(801) 607-3144,,40.275273,-111.683699
DILLARDS,3200 LAS VEGAS BLVD SOUTH,,LAS VEGAS,NV,89109,USA,,(702) 733-2008,,36.126887,-115.173448
DILLARDS,4950 PACIFIC AVE. ,,STOCKTON,CA,95207,USA,,(209) 477-1230,,37.984602,-121.309325
DILLARDS,2426 OLD U.S. HIGHWAY 5 & 50,,GRAND JUNCTION,CO ,81505,USA,,(970) 208-0604,,39.14657,-108.626481
DILLARDS,3320 SILAS CREEK PKWY,STE 3500,WINSTON SALEM,NC,27103,USA,,(336) 659-1515,,36.070373,-80.299357
DILLARDS,1930 US HWY 70 S E,,HICKORY,NC,28602,USA,,(828) 327-2656,,35.703216,-81.307002
DILLARDS,4400 SHARON RD.,,CHARLOTTE,NC,28211,USA,,(704) 365-3111,,35.152224,-80.832324
DILLARDS,100 COASTAL GRAND CIRCLE,,MYRTLE BEACH,SC,29577,USA,,(843) 839-2917,,33.701018,-78.926435
DILLARDS,700 HAYWOOD RD,,GREENVILLE,SC,29607,USA,,(864) 987-9229,,34.849967,-82.332539
DILLARDS,3101 N. MAIN ,SUITE D,ANDERSON,SC,29621,USA,,(864) 224-1315 ,,34.541448,-82.668106
DILLARDS,10101 EASTERN SHORE BLVD,,SPANISH FORT,AL,36527,USA,,(251) 621-2257,,30.667155,-87.849442
DILLARDS,4755 TOWN CROSSING DRIVE,,JACKSONVILLE,FL,32246,USA,,(904) 641-0471,,30.256109,-81.526478
DILLARDS,5100 N. 9TH AVE.,,PENSACOLA,FL,32504,USA,,(850) 476-3011,,30.474254,-87.209732
DILLARDS,300 MARY ESTHER BLVD,STE # 119,MARY ESTHER,FL,32569,USA,,(850) 244-7111,,30.416488,-86.65713
DILLARDS,200 PIER PARK DR.,,PANAMA CITY BEACH,FL,32413,USA,,(850) 234-2417,,30.221425,-85.871627
DILLARDS,2298 MARTIN LUTHER KING BLVD.,,PANAMA CITY,FL,32405,USA,,(850) 769-7671,,30.188234,-85.648349
DILLARDS,3333 BUFORD DR. ,,BUFORD,GA,30519,USA,,(678) 482-5241,,34.066232,-83.984402
DILLARDS,370 NEWNAN CROSSING BYPASS,,NEWNAN,GA,30265,USA,,(770) 254-0166,,33.388112,-84.765931
DILLARDS,900 COMMONS DR. ,SUITE 100,DOTHAN,AL,36303,USA,,(334) 794-3300,,31.253473,-85.422786
DILLARDS,3247 MANCHESTER EXPRESSWAY,,COLUMBUS,GA,31909,USA,,(706) 324-7272,,32.509357,-84.941396
DILLARDS,2223 N. WESTSHORE BLVD. ,,TAMPA,FL,33607,USA,,(813) 342-1220,,27.96314,-82.518484
DILLARDS,303 BRANDON TOWN CENTER,,BRANDON,FL,33511,USA,,(813) 653-4436,,27.934913,-82.327207
DILLARDS,6990 TYRONE SQUARE,,ST. PETERSBURG,FL,33710,USA,,(727) 344-4611,,27.793585,-82.73404
DILLARDS,3800 U.S. HIGHWAY 98 NORTH,,LAKELAND,FL,33809,USA,,(863) 859-2000,,28.089706,-81.975629
DILLARDS,100 EAGLE RIDGE DR.,,LAKE WALES,FL,33859,USA,,(863) 676-7646,,27.952584,-81.616508
DILLARDS,200 UNIVERSITY TOWN CENTER DR.,,SARASOTA ,FL,34243,USA,,941-527-4878,,27.382527,-82.453609
DILLARDS,1441 TAMIAMI TRAIL,,PORT CHARLOTTE,FL,33948,USA,,(941) 255-1778,,27.010162,-82.146599
DILLARDS,1798 N. TAMIAMI TRAIL,,NAPLES,FL,34102,USA,,(239) 261-4100,,26.170465,-81.79294
DILLARDS,8017 VIA SARDINIA WAY,,ESTERO,FL,33928,USA,,(239) 947-4133,,26.399436,-81.807578
DILLARDS,8001 S. ORANGE BLOSSOM TR. ,,ORLANDO,FL,32809,USA,,(407) 240-1771,,28.44698,-81.396583
DILLARDS,300 TOWNE CENTER CIRCLE,,SANFORD,FL,32771,USA,,(407) 330-1775,,28.805629,-81.337599
DILLARDS,4414 S.W. COLLEGE RD. ,SUITE 700,OCALA,FL,34474,USA,,(352) 629-9266,,29.140412,-82.194538
DILLARDS,1700 WEST NEW HAVEN AVE.,SUITE 801,MELBOURNE,FL,32904,USA,,(321) 676-1300,,28.081733,-80.64729
DILLARDS,10304 FOREST HILLS BLVD.,,WELLINGTON,FL,33414,USA,,(561) 227-5470,,26.64781,-80.20982
DILLARDS,1101 MELBOURNE RD. ,,HURST,TX,76053,USA,,(817) 284-4566,,32.830761,-97.198721
DILLARDS,4850 OVERTON RIDGE BLVD.,,FT. WORTH,TX,76132,USA,,(817) 294-1449,,32.679303,-97.400029
DILLARDS,3821 SOUTH COOPER,,ARLINGTON,TX,76015,USA,,(817) 465-0718,,32.681459,-97.131035
DILLARDS,8687 NORTH CENTRAL EXPRESSWAY,,DALLAS,TX,75225,USA,,(214) 373-7000,,32.86881,-96.773557
DILLARDS,2501 DALLAS PARKWAY,,PLANO,TX,75093,USA,,(972) 202-4730,,33.033012,-96.830622
DILLARDS,2603 PRESTON RD.,,FRISCO,TX,75034,USA,,(214) 705-8065,,33.097437,-96.814495
DILLARDS,7400 SAN PEDRO,SUITE 900,SAN ANTONIO,TX,78216,USA,,(210) 341-6666,,29.517342,-98.49726
DILLARDS,15900 LA CANTERA PARKWAY, ,SAN ANTONIO,TX,78256,USA,,(210) 558-6121,,29.593404,-98.618436
DILLARDS,5300 SAN DARIO AVENUE,,LAREDO,TX,78041,USA,,(956) 727-1171,,27.549202,-99.503167
DILLARDS,2200 SOUTH TENTH ST.,,MCALLEN,TX,78501,USA,,(956) 687-5211,,26.185007,-98.238578
DILLARDS,2340 N. EXPRESSWAY,,BROWNSVILLE,TX,78526,USA,,(956) 546-4581,,25.971728,-97.469871
DILLARDS,6001 WEST WACO DRIVE,,WACO,TX,76710,USA,,(254) 776-3560,,31.515063,-97.188505
DILLARDS,2901 CAPITOL OF TEXAS HIGHWAY,,AUSTIN,TX,78746,USA,,(512) 327-6100,,30.327453,-97.811132
DILLARDS,3211 FEATHERGRASS COURT,,AUSTIN,TX,78758-7722,USA,,(512) 833-9556,,30.394436,-97.72738
DILLARDS,4000 VISTA RIDGE,,BEE CAVE,TX,78738,USA,,(512) 263-0520,,30.310209,-97.943609
DILLARDS,5488 S. PADRE ISLAND DR.,,CORPUS CHRISTI,TX,78411,USA,,(361) 991-7300,,27.710665,-97.375302
DILLARDS,7701 W. INTERSTATE 40,SUITE 300,AMARILLO,TX,79121,USA,,(806) 358-7771,,35.183937,-101.928132
DILLARDS,6002 SLIDE RD. ,,LUBBOCK,TX,79414,USA,,(806) 792-6871,,33.540284,-101.925775
DILLARDS,4310 BUFFALO GAP RD.,,ABILENE,TX,79606,USA,,(325) 695-2200,,32.398892,-99.759939
DILLARDS,4511 N. MIDKIFF,,MIDLAND,TX,79705,USA,,(432) 697-7911,,32.031683,-102.128893
DILLARDS,3500 MCCANN RD.,,LONGVIEW,TX,75605,USA,,(903) 758-4486,,32.53894,-94.751568
DILLARDS,4601 S. BROADWAY AVE.,,TYLER,TX,75703,USA,,(903) 561-1221,,32.299375,-95.3023
DILLARDS,3301 VETERANS MEMORIAL BLVD.,,METAIRE,LA,70002,USA,,(504) 833-1075,,30.004397,-90.158776
DILLARDS,5725 JOHNSTON RD.,,LAFAYETTE,LA,70503,USA,,(337) 989-8139,,30.17121,-92.075608
DILLARDS,6601 BLUEBONNET,,BATON ROUGE,LA,70836,USA,,(225) 761-7293,,30.388792,-91.090266
DILLARDS,1201 LAKE WOODLANDS,STE. 400,THE WOODLANDS,TX,77380,USA,,(281) 363-9300,,30.163405,-95.457494
DILLARDS,7925 FM 1960 WEST,,HOUSTON,TX,77070,USA,,(281) 890-9200,,29.961418,-95.546625
DILLARDS,900 MEMORIAL CITY,,HOUSTON,TX,77024,USA,,(713) 464-1851,,29.780757,-95.537308
DILLARDS,4925 WESTHEIMER,,HOUSTON,TX,77056,USA,,(713) 622-1200,,29.738912,-95.459776
DILLARDS,16517 SW FREEWAY,,SUGARLAND,TX,77479,USA,,(281) 980-8300,,29.589987,-95.623811
DILLARDS,600 BAYBROOK MALL,,FRIENDSWOOD,TX,77546,USA,,(281) 486-0700,,29.543541,-95.150038
DILLARDS,5955 EASTEX FREEWAY,,BEAUMONT,TX,77706,USA,,(409) 899-9800,,30.124102,-94.159078
DILLARDS,6919 SOUTH MEMORIAL,,TULSA,OK,74133,USA,,(918) 252-1890,,36.064682,-95.881607
DILLARDS,2501 WEST MEMORIAL RD.,,OKLAHOMA,OK,73134,USA,,(405) 755-5220,,35.61315,-97.558412
DILLARDS,1901 NW EXPRESSWAY,SUITE 1001,OKLAHOMA CITY,OK,73118,USA,,(405) 840-8495,,35.524688,-97.544826
DILLARDS,3499 WEST MAIN,,NORMAN,OK,73072,USA,,(405) 329-2600,,35.219025,-97.492365
DILLARDS,2825 S. GLENSTONE AVE.,STE. 400,SPRINGFIELD,MO,65804,USA,,(417) 883-4550,,37.162499,-93.265485
DILLARDS,11601 WEST 95TH ST.,,OVERLAND PARK,KS,66214,USA,,(913) 492-0666,,38.952462,-94.720319
DILLARDS,101 JORDAN CREEK PARKWAY,,WEST DES MOINES,IA,50266,USA,,(515) 440-2277,,41.568517,-93.808966
DILLARDS,3030 OAKVIEW DRIVE,,OMAHA,NE,68144,USA,,(402) 697-1323,,41.233498,-96.118847
DILLARDS,5000 SHELBYVILLE RD. ,,LOUISVILLE,KY,40207,USA,,(502) 893-4400,,38.247912,-85.623385
DILLARDS,6000 W. MARKHAM,,LITTLE ROCK,AR,72205,USA,,(501) 661-0053,,34.753551,-92.343101
DILLARDS,3929 MCCAIN BLVD,,NORTH LITTLE ROCK,AR,72116,USA,,(501) 771-4100,,34.792595,-92.22623
DILLARDS,1796 GALLERIA BLVD.,,FRANKLIN,TX,37067,USA,,(615) 771-7101,,35.956774,-86.812986
DILLARDS,7600 KINGSTON PIKE,,KNOXVILLE,TN,37919,USA,,(865) 531-1931,,35.928645,-84.036198
DILLARDS,2100 HAMILTON PLACE BLVD.,,CHATTANOOGA,TN,37421,USA,,(423) 892-1110,,35.036633,-85.158493
DILLARDS,2400 RICHMOND RD.,,TEXARKANA,TX,75503,USA,,(903) 838-6591,,33.455079,-94.080738
DIVA HILLSIDE,671 AZ-179,,SEDONA,AZ,86336,USA,,928-282-0527,,34.860542,-111.761818
DOCK SQUARE CLOTHIERS,17 DOCK SQUARE,,KENNEBUNKPORT,ME,4046,USA,,,,43.361615,-70.477608
DOLLY MAMA BOUTIQUE & HOME,7700 PIONEER WAY ,STE 103,GIG HARBOR,WA,98335,USA,,949-813-5690,,47.328049,-122.583089
DONNAS FASHION,10051 S YALE AVE,#105,TULSA,OK,74137,USA,,918-299-6565,,36.018025,-95.921277
DOT DOT DASH BOUTIQUE,736 DE MUN AVE,,CLAYTON,MO,63105,USA,,314-862-1962,,38.637682,-90.307904
DOT.,70 PEMBROKE ST. W.,,PEMBROKE,ON,K8A 5M6,CANADA,,,,45.825869,-77.11405
DOW'S,145 GREAT GEORGE ST,,CHARLOTTETOWN,PE,C1A 4K7,CANADA,,,,46.235813,-63.127391
DRESSED BY BEC,651 MAIN ST.,,WOODSTOCK,NB,E7M 2C7,CANADA,,,,46.150395,-67.573491
EASY ELEGANCE,16 PEMBROKE ST W,,COBDEN,ON,K0J 1K0,CANADA,,,,45.62699,-76.877764
ECHO CLOTHING,83 KING ST W,,BROCKVILLE,ON,K6V 3R1,CANADA,,,,44.588859,-75.685178
ECLECTIQUE BOUTIQUE,809 W. HARBOR DRIVE,SUITE #11,SAN DIEGO,CA,92102,USA,,,,32.711325,-117.170184
EL DORADO SPORT & STYLE,46000 FAIRWAY DRIVE,,INDIAN WELLS,CA,92210,USA,,,,33.712512,-116.338419
EL'LAY,11626 N DALE MABRY HWY,,TAMPA,FL,33618,USA,,757-417-7375,,28.054425,-82.504816
ELEVEN 26 BOUTIQUE,317 TRENTON ST,,WESTMONROE,LA,71291,USA,,318-737-7207,,32.501585,-92.124398
ELEVEN JOSEPH FASHION,117 MAIN STREET N,,MARKHAM,ON,L3P 1X9,CANADA,,,,43.99942,-79.68122
ELLA LAFAY,17 MAIN ST,,TIBURON,CA,94920,USA,,,,37.873389,-122.455712
ELLE'S BOUTIQUE,#130- 175 CARLETON,,ST. ALBERT,AB,T8N 7X9,CANADA,,,,53.633239,-113.628845
ELOISE,69 YORK ST,,FREDERICTON,NB,E3B 3N4,CANADA,,,,45.962695,-66.643633
EMAGINARY,255 GOLD RIVERS CT ,#160,BASALT,CO,81621,USA,,970-927-9645,,39.367794,-107.034817
EMBELLISHMENTS,903 LINCOLN AVE,,STEAMBOAT SPRINGS,CO,80487,USA,,970-879-3466,,40.486667,-106.835828
EN VUE BOUTIQUE,"100 BOUL. BRIEN, LOCAL 126, GALERIES RIVE NORD",,REPENTIGNY,QC,J6A 5N4,CANADA,,,,45.741895,-73.458605
ENCOMPASSING BEAUTY/CROSSLAKE CLOTHING,35734 ALLEN AVENUE,,CROSSLAKE,MN,56442,USA,,,,46.671374,-94.101988
ENNOJA CLOTHING,101-5 PERRON STREET,,ST. ALBERT,AB,T8N 1E3,CANADA,,,,53.633296,-113.624184
ESCAPE - MIKOCAN INC,703 BANK ST.,,OTTAWA,ON,K1S3V1,CANADA,,,,45.405046,-75.688997
ESSENZA BOUTIQUE,8711 E PINNACLE PEAK ROAD ,PMB 193,SCOTTSDALE,AZ,85255,USA,,480-563-9963,,33.69789,-111.892772
EUREKA DAN'S,928 MAIN AVE,,DURANGO,CO,81301,USA,,970-247-3520,,37.273726,-107.8804
EUROPEAN ADDITION,403 MAIN ST.,,EXETER,ON,N0M 1S6,CANADA,,,,43.345609,-81.480385
EUROSTYLE PLUS,510 EAST STATE ST. ,,ROCKFORD,IL,61104,USA,,,,42.267677,-89.086938
EVE & ME BOUTIQUE,1916 2ND AVE,,ANOKA,MN,55303,USA,,,,45.197365,-93.389151
EVELIE BLU BOUTIQUE,2815 W. DIVISION ST., SUITE 101,ST. CLOUD,MN,56301,USA,,,,45.553358,-94.192503
EVERGREEN CLOTHING AND MERCANTILE,28025 HIGHWAY 74,,EVERGREEN,CO,80439,USA,,,,39.633376,-105.318282
EVERY BLOOMING THING,369 MAIN ST.,,YARMOUTH,NS,B5A 1E7,CANADA,,,,43.836826,-66.119771
EXPRESSIONS,8 EAST MAIN ST.,,NEW HAMPTON,IA,50659,USA,,641-394-4337,,43.059412,-92.31492
EXPRESSIONS FASHION BOUTIQUE,2395 PRINCESS ST.  UNIT 7 & 8,,KINGSTON,ON,K7M 0C4,CANADA,,,,44.257697,-76.55643
FABRICATIONS,125 KENNETH STREET,,DUNCAN,BC,V9L 6A5,CANADA,,,,48.778601,-123.708853
FABTIQUE,1657 WEST LANE AVE, ,COLUMBUS,OH,43221,USA,,614-754-8472,,40.006759,-83.054638
FAIR CLOTH BOUTIQUE,8001 KEKCHEVAL ST. ,SUITE#101,DETROIT,MI,48214,USA,,313-284-2600,,42.365116,-82.987644
FAIRMONT AWARDS,310 DOWNTOWN PLAZA,,FAIRMONT,MN,56031,USA,,507-235-3705,,43.65494,-94.462232
FANCY FIG BOUTIQUE,341 ONTARIO AVE,,BOGALUSA,LA,70427,USA,,985-750-1631,,30.791744,-89.864015
FASHION ENVY,47 FOSTER ST,,PERTH,ON,K7H 1R9,CANADA,,,,44.900671,-76.252448
FASHION REFLECTION,2104 POST OAK CROSSING,,SHERMAN,TX,75092,USA,,903-892-8330,,33.66857,-96.641281
FASHION RESCUE 911,8239 DAMPIER CR,,LIVERPOOL,NY,13090,USA,,315-247-0730,,43.170313,-76.235249
FASHION RESCUE 911,52 OSWEGO ST,,BALDWINSVILLE,NY,13027,USA,,315-247-0730,,43.159162,-76.332558
FASHION WEAR CANADA,31 DISERA DRIVE,,THORNHILL,ON,L4J 0A7,CANADA,,,,43.811806,-79.453701
FASHIONS ON MAIN,1904-20 STREET,,DIDSBURY,AB,T0M 0W0,CANADA,,,,51.660793,-114.137248
FAVORITE FINDS,22709 LOUGHEED HWY,Suite #503 ,MAPLE RIDGE,BC,V2X 2V5,CANADA,,,,49.217573,-122.591956
FAWBUSH'S,8201 PLEASANT AVE. SOUTH,,BLOOMINGTON,MN,55420,USA,,855-329-2874,,44.854995,-93.282988
FAYE'S,18900 W BLUEMOUND RD, ,BROOKFIELD,WI,53045,USA,,262-241-8386,,43.037862,-88.148212
FAYE'S,1515 WEST MEQUON RD. ,UNIT #4,MEQUON,WI,53092,USA,,,,43.22101,-87.92685
FAYE'S,18900 W. BLUEMOUND RD.,,BROOKFIELD,WI,53045,USA,,262-241-8386,,43.037862,-88.148212
FELLAS HABERDASHERY AND SALON,1804 SAINT CLAIR AVE,,SAINT PAUL,MN,55105,USA,,,,44.934134,-93.176134
FIRST FLORAL HALLMARK,314 10TH STREET,,WINDOM,MN,56101,USA,,507-822-1553,,43.866698,-95.116466
FLAIR GIFTS & BOUTIQUE,29455 N CAVE CREEK ,#122,CAVE CREEK,AZ,85331,USA,,,,33.753283,-111.99005
FLAIR GIFTS & BOUTIQUE,8349 E VIA DE LA LUNA,,SCOTTSDALE,AZ,85258,USA,,480-515-3883,,33.54621,-111.899993
FLEA,134 EAST FRONT,,TRAVERSE CITY,MI,49684,USA,,,,44.763933,-85.622228
FLEURISH HOME,135 MAIN ST.,,HAMILTON,OH,45013,USA,,,,39.402897,-84.567924
FLEURISH HOME,1247 SHARKEY CT.,,HAMILTON,OH,45013,USA,,513-889-1837,,39.450902,-84.604213
FOLIES FEMININES,431 AVENUE BROCHU,,SEPT-ILES,QC,G4R 2W9,CANADA,,,,50.205901,-66.384805
FOR ELYSE,228 BROADWAY ST,,CHICO,CA,95928,USA,,530-893-0106,,39.729244,-121.841084
FOR WOMEN ONLY,#106  5102  50TH  AVENUE,,YELLOWKNIFE,NT,X1A 3S8,CANADA,,,,62.454081,-114.377385
FORME AND FUNCTION CLOTHING,1189 OLD FANNIN RD ,STE EE,BRANDON,MS,39047,USA,,,,32.377389,-90.043151
FOUND,641 COLUMBIA ST,,NEW WESTMINSTER,BC,V3M 1A7,CANADA,,,,49.202804,-122.909378
FOX & HOLLY,162 PEDDLERS VILLAGE,,NEW HOPE,PA,18931,USA,,,,40.347576,-75.034374
FOX AND HOLLY,PEDDLERS VILLAGE,#162,LAHASKA,PA,18931,USA,,215-302-4300,,40.328645,-75.10278
FRANK CLOTHIERS,673 N. PALM CANYON DRIVE,,PALM SPRINGS,CA,92262,USA,,,,33.832777,-116.546925
FRESH PRODUCE,1 NORTH FOREST BEACH RD,SUITE A6,HILTON HEAD ISLAND,SC,29926,USA,,843-842-3410,,32.142894,-80.750573
FRINGE BENEFITS,5001 50TH ST,,CAMROSE,AB,T4V 1R2,CANADA,,,,53.022073,-112.824854
FROU FROU BY PAT,159 YORK ST.,,OTTAWA,ON,K1N5T4,CANADA,,,,45.429916,-75.689619
FURBELOWS/603892 ONTARIO INC.,38 BRUCE STREET SOUTH,,THORNBURY,ON,N0H 2P0,CANADA,,,,44.563716,-80.450366
G.FACEY'S CLOTHING,57 WALTON ST,,PORT HOPE,ON,L1A 1N2,CANADA,,,,43.951353,-78.293728
GABY STYLE ET PASSION,1255 BOULEVARD DE PERIGNY,,CHAMBLY,QC,J3L 1W7,CANADA,,,,45.446469,-73.289483
GAIL ENTERPRISE,277 WATER STREET,,ST. JOHN'S,NL,A1C 1B4,CANADA,,,,47.562165,-52.708979
GALENA RIVER WINE & CHEESE,420 S MAIN ST.,,GALENA,IL,61036,USA,,,,42.413778,-90.430325
