title,address1,address2,city,state,zipcode,country,website,phone,tags,latitude,longitude
GALLERIA RIVERSIDE,1658 ROLLINS WAY,,COLUMBUS,GA,31904,USA,,,,32.535899,-84.967881
GARBO'S FASHIONS,136 FRONT STREET N,,SARNIA,ON,N7T 5S3,CANADA,,,,42.971857,-82.408368
GATHER,51 KING ST. EAST,,BOWMANVILLE,ON,L1C 1N1,CANADA,,,,43.911797,-78.6879
GAYLES FASHION,5262 ARGYLE ST,,PORT ALBERNI,BC,V9Y 1T9,CANADA,,,,49.234724,-124.800558
GEARHEAD OUTFITTERS,1948 UTICA SQUARE,,TULSA,OK,74114,USA,,918-878-9966,,36.131914,-95.964599
GEARHEAD OUTFITTERS,2203 SOUTH PROMENADE BLVD ,SUITE 3155,ROGERS,AR,72758,USA,,479-877-2541,,36.304316,-94.175244
GEARHEAD OUTFITTERS,230 S MAIN ST.,,JONESBORO,AR,72401,USA,,870-910-5569,,35.840927,-90.704773
GEARHEAD OUTFITTERS ,1701 S LINDBERGH BLVD,SUITE 80,ST. LOUIS,MO,63131,USA,,314-476-0041,,38.630484,-90.407487
GOLDEN POPPY,50 N. DUPONT HIGHWAY,,DOVER,DE,19904,USA,,302-943-9846,,39.164144,-75.517777
GOOD & PERFECT GIFTS,1243 E. REPUBLIC RD,,SPRINGFIELD,MO,65804,USA,,,,37.137833,-93.276893
GOTTA HAVE IT,2235 MAIN ST,,GLASTONBURY,CT,6033,USA,,,,41.710562,-72.608306
GRACE THE BOUTIQUE,76 ONTARIO STREET,,STRATFORD,ON,N5A 3H2,CANADA,,,,43.371649,-80.982007
GRAHAM'S STYLE STORE,890 MAIN STREET,SUITE 100,DUBUQUE,IA,52001,USA,,,,42.501541,-90.66713
GREEN AND SERENE,1012 E LAS OLAS BLVD,,FORT LAUDERDALE,FL,33301,USA,,,,26.119001,-80.132828
GROOVE,474 THAMES STREET,,NEWPORT,RI,2840,USA,,,,41.480009,-71.314211
GROVE BOUTIQUE,8635 JEWEL LN S.,,COTTAGE GROVE,MN,55016,USA,,651-231-5663,,44.8245,-92.913971
GUILD AND GENTRY,321 N MAGNOLIA ST,,LAUREL,MS,39440,USA,,601-319-9404,,31.692162,-89.130159
HARPER'S HABERDASHERY,16645 HIGHLAND RD,,BATON ROUGE,LA,70810,USA,,225-752-0062,,30.346089,-91.043015
HAZEL'S HAVEN,4120 ROGERS AVE ,SUITE 102,FORT SMITH,AR,72903,USA,,479-242-4295,,35.369203,-94.386506
HEART BOUTIQUE,30750 RUSSELL RANCH RD ,#E,THOUSAND OAKS,CA,91362,USA,,,,34.147147,-118.794794
HEBERT & BRIXI,2 BOUL. DESAULNIERS,,ST. LAMBERT,QC,J4P 1L2,CANADA,,,,45.502588,-73.513815
HEELS BOUTIQUE,121 PLAZA DRIVE,,GROVER,MO,63040,USA,,,,38.582159,-90.628069
HELLO BEAUTIFUL SALON AND BOUTIQUE,7812 MAIN ST,,FOLGELSVILLE,PA,18051,USA,,610-351-4247,,40.583556,-75.630092
HEN HOUSE,108 JEARL ST SUITE 201,,ALEDO,TX,76008,USA,,,,32.704064,-97.603769
HENRY'S OF ABERDEEN,107 EAST COMMERCE ST.,,ABERDEEN,MS,39730,USA,,,,33.825207,-88.543515
HIGH CALL OUTFITTERS,4100 10TH STREET,,GREAT BEND,KS,67530,USA,,620-679-4467,,38.36228,-98.793919
HIGH COUNTRY STYLE,121 N. MAIN ST,,WAYNESVILLE,NC,28786,USA,,828-452-3611,,35.491363,-82.987408
HOLLAND HOUSE,109 CENTRAL AVE NE,,ORANGE CITY,IA,51041,USA,,,,43.006168,-96.058082
HONEYBEE BOUTIQUE,314 E GRAND AVE,,PONCA CITY,OK,74601,USA,,,,36.703468,-97.081037
HOOKED ON FASHION,986 E 12TH ST,,BROOKLYN,NY,11230,USA,,,,40.6252,-73.964364
HOT PEPPERS CLOTHING,4911 49Th Avenue,,LLOYDMINSTER,SK,S9V 0T6,CANADA,,,,53.276673,-110.003489
HOUSE TO HOME CREATIONS,4746 HANSEN ROAD,,PADUCAH,KY,42001,USA,,270-594-5904,,37.065697,-88.693337
HOWARD'S DEPARTMENT STORE,1000 MAIN ST,,TRENTON,MO,64683,USA,,660-334-0264,,40.075287,-93.617531
HOWARDS,608 WASHINGTON ST,,CHILLICOTHE,MO,64601,USA,,,,39.794194,-93.553803
HUMPHREY'S,"28 PRINCESS ST, #102",,BROOKLIN,ON,L1M 1B2,CANADA,,,,43.95596,-78.960192
I LUV LINENS AND PEARLS,223 EAST WATER STREET,,BAINBRIDGE,GA,39817,USA,,,,30.906718,-84.575359
IDYOLOGY  CLOTHING,435 SUNRISE HWY,,LYNBROOK,NY,11563,USA,,516-825-3149,,40.654861,-73.672602
IMAGES MENS WEAR,227 MAIN ST,,CITY OF ORANGE,NJ,7050,USA,,,,40.771578,-74.227317
IMAGINE,2 CENTRAL SQUARE ST,,BRISTOL,NH,3222,USA,,603-744-6172,,43.590778,-71.736084
IMPULSE BOUTIQUE,29 MAIN STREET,,PORT WASHINGTON,NY,11050,USA,,,,40.831027,-73.685612
IN FINE FEATHER BOUTIQUE,115 E MAIN ST,,WEATHERFORD,OK,73096,USA,,580-774-9434,,35.52617,-98.707299
IN SEASON,220 N MAIN STREET ,SUITE 110,BENTONVILLE,AR,72712,USA,,479-273-6685,,36.373448,-94.208841
IN THE PINK,615 SOUTH LIVINGSTON AVENUE,,LIVINGSTON,NJ,7039,USA,,,,40.772507,-74.326306
INSPIRE COLLECTIONS MONCTON,1633  MOUNTAIN ROAD,,MONCTON,NB,E1G 4R3,CANADA,,,,46.117644,-64.83922
INSPIRE COLLECTIONS WINDSOR-GRANDFALLS,130 MAIN STREET,,WINDSOR-GRANDFALLS,NF,A2B 1G7,CANADA,,,,48.948055,-55.665698
IRMA MARIE,8174 EAST BRAINERD RD,#100,CHATTANOOGA,TN,37421,USA,,,,35.00285,-85.146974
ISN'T SHE LOVELY,276 N STATE RTE 89A D2,,SEDONA,AZ,86336,USA,,,,34.87053,-111.759984
IVY HILL BOUTIQUE,8835 LADUE ROAD,,ST LOUIS,MO,63124,USA,,314-721-7004,,38.653858,-90.350236
J. JULES FASHION,6750 W. FRONTAGE RD.,#406,MEDFORD,MN,55049,USA,,,,44.169381,-93.26112
J. LUX FASHION,1671 HOFFMAN RD,SUITE 90,GREEN BAY,WI,54311,USA,,,,44.454061,-87.999551
JACKEEZ & NICOLZ,20000 VENTURA BLVD,,WOODLAND HILLS,CA,91364,USA,,,,34.17162,-118.568584
JAKE & ED'S,314 MARY ST,,WAYCROSS,GA,31501,USA,,912-283-2545,,31.210495,-82.358167
JARBOE,1225 N ORANGE AVE,,ORLANDO,FL,32804,USA,,407-895-6878,,28.562372,-81.373011
JAX MENSWEAR,2400 10TH ST SW, #409,MINOT,ND,58701,USA,,,,48.204815,-101.310415
JAXON GREY,3177 GALLERIA,,EDINA,MN,55435,USA,,952-219-7289,,44.877309,-93.324057
JAYNE,9500 W 143RD STREET,SUITE #202,ORLAND PARK,IL,60462,USA,,,,41.63067,-87.851177
JB AND ME,36 W. 8TH ST,FLOOR 2 SUITE 100,HOLLAND,MI,49423,USA,,616-392-8902,,42.790157,-86.108507
JB BOUTIQUE,317 S WASHINGTON AVE,,NEWPORT,WA,99156,USA,,208-762-0439,,48.178584,-117.044494
JEAN COUNTRY LIVELY,17-135 REGIONAL RD 24,,LIVELY,ON,P3Y 1J1,CANADA,,,,46.4431,-81.127
JEANS AND CUTE TOP,5116 MAIN ST, ,DOWNERS GROVE,IL,60515,USA,,630-715-9372,,41.794341,-88.010735
JEANS AND CUTE TOP,123 W. WESLEY STREET,,WHEATON,IL,60187,USA,,,,41.866345,-88.107984
JEANS JACKETS & JEWELS,117 HILLTOWN VILLAGE CTR,,CHESTERFIELD,MO,63017,USA,,314-578-1433,,38.659281,-90.552377
JEANS JEANS JEANS,5575 CASGRAIN AVE,,MONTREAL,QC,H2T 1Y1,CANADA,,,,45.527399,-73.598126
JEANS UNLIMITED,68 JAMES ST,,PARRY SOUND,ON,P2A 1T5,CANADA,,,,45.345109,-80.034006
JEMS BOUTIQUE,72 QUEEN ST.,,CHARLOTTETOWN,PE,C1A 4B2,CANADA,,,,46.233046,-63.125927
JEWELS BY JEANETTE,25 WATERFORD OAKS LN,,KEMAH,TX,77565,USA,,832-692-9966,,29.548618,-95.045349
JEYAH,"LOCAL 200, 601 1ER RUE POIRE",,LA POCATIERE,QC,G0R 1Z0,CANADA,,,,47.369524,-70.035095
JIA,359 MILLBURN AVE,,MILLBURN,NJ,7041,USA,,973-379-2215,,40.723747,-74.308092
JOHN LEVIN CLOTHING,30500 AL HWY 181,STE. 216,SPANISH FORT,AL,36527,USA,,,,30.665388,-87.84758
JOHN ROBERTS,321 GEORGE STREET NORTH,,PETERBOROUGH,ON,K9H 3P9,CANADA,,,,44.304795,-78.32031
JOJO + COCO,4312 S. SETTLER DR,SUITE 120,RIDGEFIELD,WA,98642,USA,,360-431-9747,,45.815182,-122.703222
JOLI BEAUTIQUE,1745 S EASTON RD UNIT,#H2,DOYLESTOWN,PA,18901,USA,,267-488-1768,,40.275896,-75.127417
JOLIE FOLIE,305 RUE MAINE,,SHAWVILLE,QC,J0X 2Y0,CANADA,,,,45.603302,-76.489854
JONAH & SAGE,240 EAST MAIN STREET,,BOZEMAN,MT,59715,USA,,406-404-1199,,45.679037,-111.032852
JUDEE'S,1104 INDIANA AVE,,LA PORTE,IN,46350,USA,,,,41.606324,-86.718931
JUDEES,1205 E. UNIVERSITY DR. ,,GRANGER,IL,46530,USA,,219-324-6443,,41.721014,-86.165389
JUDY DESIGN,105-201 RUE ST-LOUIS,,ST JEAN SUR RICHELIEU,QC,J3B 1X9,CANADA,,,,45.371292,-73.387863
JUDY JOANNOU,83 MILL ST,,ALMONTE,ON,K0A 1A0,CANADA,,,,45.226049,-76.194528
JUMAJE,277 RTE 138,,LES ESCOUMINS,QC,G0T 1K0,CANADA,,,,48.532971,-69.261729
K C CLOTHING,133 QUEEN ST,,CHARLOTTETOWN,PE,C1A 4B3,CANADA,,,,46.234154,-63.127881
K-LEE BOUTIQUE,5712a 111 ST,,EDMONTON,AB,T6H 3G1,CANADA,,,,53.494492,-113.517764
K.LANES,600 S. TYLER ,STE W-104,WICHITA,KS,67209,USA,,316-558-8840,,37.673422,-97.442833
KATALINA'S BOUTIQUE,1682 PROVIDENCE RD,,NORTHRIDGE,MA,1534,USA,,,,42.138391,-71.645706
KATHY'S BOUTIQUE,122 N PALESTINE ST,,ATHENS,TX,75751,USA,,903-677-5448,,32.205697,-95.853594
KATIE ROSE BOUTIQUE,9610 NORTH CENTENNIAL DRIVE ,SUITE B,MUNSTER,IN,46321,USA,,,,41.550535,-87.502585
KATSCH BOUTIQUE,113 N. SATE ST.,,GENESEO,IL,61254,USA,,309-944-5656,,41.496512,-90.174607
KAUFMAN SHOES,6515 POPLAR AVENUE,ST.101,MEMPHIS,TN,38119,USA,,901-323-2616,,35.098843,-89.846069
KB & CO,2400 HWY 13 BLVD,,HIGGINSVILLE,MO,64037,USA,,660-584-5040,,39.070939,-93.734254
KEE KEE BOUTIQUE,138 WEST MAIN ST.,,WAUNAKEE,WI,53597,USA,,404-606-3124,,43.191779,-89.456561
KEMPT,175 N LUMPKIN ST,,ATHENS,GA,30601,USA,,,,33.957879,-83.377119
KFS LIMITED,27 FIRST STREET EAST,,CORNWALL,ON,K6H 1K5,CANADA,,,,45.017194,-74.726971
KIMMAN'S CO,1004 CAROLINE ST,,FREDERICKSBURG,VA,22401,USA,,540-310-4800,,38.303897,-77.459948
KINDRED SPIRIT STYLE,7040 HWY 64,,OAKLAND,TN,38060,USA,,901-235-6945,,35.229073,-89.520218
KISMET / KENSINGTON,118 - 10TH STREET NORTH WEST,,CALGARY,AB,T2N 1V3,CANADA,,,,51.052793,-114.085784
KISMET BOUTQUE,100 N SANTA CRUZL AVE ,STE #A,LOS GATOS,CA,95030,USA,,408-395-4664,,37.22439,-121.982705
KIVA,15A AVENUE CARTIER,,POINTE-CLAIRE,QC,H9S 4R5,CANADA,,,,45.553749,-73.570061
KNIGHTS CHAMBER CLOTHIERS,9707 63RD AVE N,,MAPLE GROVE,MN,55369,USA,,612-270-4143,,45.068573,-93.403438
KOLU / 0849224 BC LTD.,1950 HARVEY AVENUE,SUITE #115,KELOWNA,BC,V1Y 8J8,CANADA,,,,49.882787,-119.452117
KRISTINE'S DESIGNER CLOTHING,1214 W F ST ,STE A1,OAKDALE,CA,95361,USA,,209-844-5018,,37.760717,-120.861683
KRUSH CLOTHING BOUTIQUE,1306 GREAT NORTHERN RD,,SAULT STE MARIE,ON,P6A 5K7,CANADA,,,,46.566773,-84.3203
L 'ATOUT PRIX,6041 BOUL. BOURQUE,,SHERBROOKE,QC,J1N 1H2,CANADA,,,,45.357389,-72.014222
LA BELLE BOUTIQUE,608 -12 TH AVENUE EAST,,KINDERSLEY,SK,S0L 1S2,CANADA,,,,51.65284,-111.941574
LA CREME,1369 KING STREET NORTH,,ST.JACOBS,ON,N0B 2N0,CANADA,,,,43.537696,-80.554225
LA FLANERIE,3075 COTE-ROSEMONT,,TROIS-RIVIERES,QC,G8Y 4R9,CANADA,,,,46.340082,-72.590152
LA LA BOUTIQUE,314 N. MAIN STREET,,BLOOMINGTON,IL,61701,USA,,309-386-1397,,40.480973,-88.993933
LA NOMADE,103 PRINCIPALE,,GATINEAU,QC,J9H 3L9,CANADA,,,,45.395022,-75.845776
LAKE ROAD LIVING,371 MAIN ST,,STURBRIDGE,MA,1566,USA,,,,42.110342,-72.093185
LAVENDER BLU BOUTIQUE,300 CARLSBAD VILLAGE DRIVE ,SUITE 111,CARLSBAD,CA,92008,USA,,,,33.159345,-117.350365
LAVENDER BLUE BOUTIQUE,778 HIGUERA ST.,SUITE E,SAN LUIS OBISPO,CA,93401,USA,,,,35.280063,-120.663708
LE BEAU MAROC,9507 HARDING AVE,#2501,SURFSIDE,FL,33154,USA,,,,25.885347,-80.123541
LE CHOIX DE SOPHIE,630 SACRE-COEUR OUEST,,ALMA,QC,G8B 1L9,CANADA,,,,48.550146,-71.65046
LE PLACARD,2036 MONT-ROYAL EST,,MONTREAL,QC,H2H 2J6,CANADA,,,,45.500949,-73.572683
LE VIEUX GRENIER,433 6E AVENUE NORD,,ST-GEORGES O,QC,G5Z 0R7,CANADA,,,,46.122987,-70.671959
LEE TRACY,1000 GOVERNMENT ST.,STE C,OCEAN SPRINGS,MS,39564,USA,,,,30.413451,-88.82754
LEE TRACY,1000 GOVERNMENT STREET,SUITE 103,OCEAN SPRINGS,MS,39564,USA,,,,30.413451,-88.82754
LEE TRACY'S REMEDY,2809 DENNY AVE,,PASCAGOULA,MS,39581,USA,,228-809-5350,,30.375541,-88.533461
LELA'S BOUTIQUE,1925 E  MARKET ST ,STE 515,HARRISONBURG,VA,22801,USA,,,,38.428532,-78.844251
LEM & LUX (watch me grow),15 ARMSTRONG ST. NORTH,,NEW LISKEARD,ON,P0J 1P0,CANADA,,,,47.510163,-79.671416
LEMON CABANA,319 LASKIN RD.,,VIRGINA BEACH,VA,23451,USA,,757-417-7375,,36.85877,-75.980222
LES BIJOUX DE MICHELE,237 RUE SAINT-ETIENNE SUITE 270,,LA MALBAIE,QC,G5A 1H5,CANADA,,,,47.657525,-70.153885
LES EFFRONTES (JEAN MICHEL),1288 SAINT ANTOINE OEST APP #611,,MONTREAL,QC,H3C 0X6,CANADA,,,,45.494893,-73.569167
LES PETITS BONHEURS DE MARGUERITE,693 ROUTE 289,,SAINT-ALEXANDRE DE KAMOURASKA,QC,G0L 1G0,CANADA,,,,47.566797,-69.866867
LEWIS GIFTS,5807 YOUREE DR,,SHREVEPORT,LA,71105,USA,,318-868-6700,,32.45532,-93.721902
LEX BOUTIQUE,114 ROSEBERRY ST,,CAMPBELLTON,NB,E3N 2G8,CANADA,,,,48.00409,-66.680164
LIFESTYLES WEST ENTERPRISES INC,"102, 6212 LEXINGTON PLACE",,NANAIMO,BC,V9V 0A6,CANADA,,,,49.237144,-124.031452
LILIETH BOUTIQUE,220 MAIN ST,,LIVERPOOL,NS,B0T 1K0,CANADA,,,,44.038901,-64.715409
LILLIAN'S CLOSET,315 MCKEOWN AVE,,PATAGONIA,AZ,85624,USA,,,,31.540166,-110.75307
LILLIANS,10 CENTRAL AVE,,BUFFALO,MN,55313,USA,,,,45.17213,-93.876067
LILLIANS OF APPLETON,115 E COLLEGE AVE, ,APPLETON,WI,54911,USA,,920-277-5719,,44.261634,-88.405217
LIME LITE BOUTIQUE,1037 CANAL ST,,THE VILLAGES,FL,32162,USA,,352-633-5900,,28.908098,-81.974426
LINDA'S FASHIONS,101 SOUTH MAIN,,MAILBANK,SD,57252,USA,,605-432-5591,,45.221322,-96.63552
LINDSAY & McCAFFREY LIMITED,1160 BEAVERWOOD RD.,UNIT 9,MANOTICK,ON,K4M 1A2,CANADA,,,,45.223153,-75.682744
LINGERIE ROMEO & JULIETTE,118B RUE PRINCIPALE,,STE-AGATHE-DES-MONTS,QC,J8C 1K1,CANADA,,,,46.042734,-74.26158
LINK NYC,1079 WILLIS AVE,,ALBERTSON,NY,11507,USA,,917-589-0531,,40.77298,-73.649524
LITTLE BIRD BOUTIQUE,606 E 1ST STREET,,NEWBERG,OR,97132,USA,,563-351-6395,,45.300163,-122.974075
LITTLE BRITCHES,320 N MAIN ST,,GARDEN CITY,KS,67846,USA,,620-275-7184,,37.967352,-100.873498
LITTLE TOWN BOUTIQUE,26 MEEHAN ST   #1,,CAPREOL,ON,P0M 1H0,CANADA,,,,46.703126,-80.92209
LIV FASHION BOUTIQUE,59 WEBSTER ST,,KENTVILLE,NS,B4N 1H6,CANADA,,,,45.078404,-64.495843
LIZZY'S BOUTIQUE,119 S RAILROAD ST, ,EAGLE RIVER,WI,54521,USA,,,,45.91594,-89.252034
LOCAL 2.22 (MAISON 1455),1455 PEEL STREET,,MONTREAL,QC,H3A 1T5,CANADA,,,,45.504,-73.5747
LOIS PEARL BOUTIQUE,9127 W. SMITH ST.,,YORKTOWN,IN,47396,USA,,765-722-8388,,40.173351,-85.494252
LOLLIE & CO,2566 W 8TH ST. ,,ERIE,PA,16505,USA,,,,42.106603,-80.141409
LOLO POGI BOUTIQUE,406 BROADWAY ST. ,,TOWNSEND,MT,59644,USA,,971-221-7406,,46.320518,-111.516926
LONA MAE'S,326 W MINER ST. ,SUITE A,YREKA,CA,96097,USA,,760-207-3144,,41.732346,-122.637853
LOUELLA STYLE,227 E LANCASTER AVE,,WAYNE,PA,19087,USA,,610-293-9800,,40.044054,-75.382797
LOUSJE & BEAN BOUTIQUE,280 WELLAND AVE,,ST. CATHARINES,ON,L2R 2P9,CANADA,,,,43.168754,-79.231196
LOVE TOO PAR ,4160 3RD ST. S,,JACKSONVILLE,FL,32250,USA,,904-860-6080,,30.257194,-81.3881
LUCKY ENDZ GIFTS,239 E MAIN ST.,,HERMISTON,OR,97838,USA,,541-289-1112,,45.840355,-119.288732
LULU'S BOUTIQUE,150 NW MINNESOTA AVE,,BEND,OR,97703,USA,,541-617-8948,,44.058422,-121.31363
LUNA BLUE,2611 14 ST SW,,CALGARY,AB,T2T 3T9,CANADA,,,,51.031057,-114.094877
LYDIA'S BY CROCK AND ROCKER,220 EAST LUDINGTON,,IRON MOUNTAIN,MI,49801,USA,,,,45.820432,-88.064747
LYNN & LILY BOUTIQUE,3655 LAKE EASTBROOK BLVD SE,,GRAND RAPIDS,MI,49546,USA,,317-506-9815,,42.916976,-85.575708
MADAME BUTTERFLY,35 RUE AMBROISE FAFARD,,BAIE-SAINT-PAUL,QC,G3Z 2J2,CANADA,,,,47.440269,-70.506003
MADISON STREET SHOES,7500 MADISON ST.,,FOREST PARK,IL,60130,USA,,,,41.879652,-87.812026
MADISON'S NICHE,186 7TH STREET,,GARDEN CITY,NY,11530,USA,,516-246-9964,,40.72502,-73.634224
MADISON'S NICHE,91 MAIN STREET,,SAYVILLE,NY,11782,USA,,631-750-6566,,40.735501,-73.083837
MADISON'S NICHE,14 WALL STREET,,HUNTINGTON,NY,11743,USA,,631-683-5700,,40.871888,-73.427241
MADISON'S NICHE ,1491 OLD COUNTRY ROAD,,PLAINVIEW,NY,11803,USA,,516-246-9964,,40.779569,-73.450282
MADISON'S NICHE ,83 MAIN STREET,,STONY BROOK,NY,11790,USA,,631-364-9898,,40.917086,-73.147225
MAGNOLIA JAMES BOUTIQUE,1957 E SAMFORD AVE,SUITE B,AUBURN,AL,36830,USA,,334-750-0284,,32.603644,-85.441742
MAIN STREET BOUTIQUE,201 MAIN AVE, ,RUGBY,ND,58368,USA,,701-412-1033,,48.372342,-99.996107
MAIN STREET CLOTHING COMPANY,513 MAIN ST WEST,,WINCHESTER,ON,K0C 2K0,CANADA,,,,45.03233,-75.293458
MAIN STREET DESIGNS,2196 FIRST STREET,,LIVERMORE,CA,94550,USA,,925-449-8573,,37.681806,-121.769214
MAIN STREET DESIGNS,2196 FIRST ST.,,LIVERMORE,CA,94550,USA,,,,37.681806,-121.769214
MAIN STREET MERCANTILE,301 W MAIN,,RED RIVER,NM,87558,USA,,,,36.706648,-105.404204
MAINSTREAM BOUTIQUE CASTLE PINES,872 W HAPPY CANYON RD,,CASTLE ROCK,CO,80108,USA,,,,39.426511,-104.901395
MAINSTREAM BOUTIQUE CEDAR FALLS,936 VIKING RD. ,SUITE 105,CEDAR FALLS,IA,50613,USA,,620-252-9844,,42.483566,-92.457671
MAINSTREAM BOUTIQUE COLUMBIA,2804 DEVINE ST.,,COLUMBIA,SC,29205,USA,,,,33.99796,-81.00325
MAINSTREAM BOUTIQUE EDMOND,130 N BROADWAY STE. 120,,EDMOND,OK,73034,USA,,806-626-7195,,35.656647,-97.480898
MAINSTREAM BOUTIQUE FORT MYERS,9345 BEN C PRATT SIX MILE CYPRESS PARKWAY,SUITE 105,FORT MYERS,FL,33966,USA,,,,26.607241,-81.809638
MAINSTREAM BOUTIQUE GREENVILLE,27 S. PLEASANTBURG DRIVE,,GREENVILLE,SC,29607,USA,,,,34.84143,-82.362903
MAINSTREAM BOUTIQUE NEW LENOX,2340 E. LINCOLN HWY.,,NEW LENOX,IL,60451,USA,,815-735-5826,,41.508135,-87.921611
MAINSTREAM BOUTIQUE OF AURORA,6235 S MAIN STREET ,UNIT 113A,AURORA,CO,80016,USA,,,,39.603324,-104.709332
MAINSTREAM BOUTIQUE OF WACO,600 FRANKLIN AVE,STE 100 E,WACO,TX,76701,USA,,,,31.55439,-97.131714
MAINSTREAM BOUTIQUE SAINT JOHN,127 PARK CENTER AVE,,PONTE VEDRA,FL,32081,USA,,904-866-1182,,30.108173,-81.430143
MAINSTREAM BOUTIQUE TYLER,2376 DUELING OAKS DRIVE,SUITE 300,TYLER,TX,75703,USA,,,,32.264547,-95.342064
MAISON 1455,1455 PEEL STREET,,MONTREAL,QC,H3A 1T5,CANADA,,,,45.504,-73.5747
MAM'SELLE,1348 UNION UNIVERSITY DRIVE,SUITE A,JACKSON,TN,38305,USA,,731-668-2420,,35.684396,-88.862794
MANGO'S BOUTIQUE,1177 DUCK ROAD,SUITE#55,DUCK,NC,27949,USA,,,,36.162688,-75.751573
MANGO'S ISLAND GIFTS AND APPAREL,1 TARPON BLVD ,STE. 103,SAINT HELENA ISLAND,SC,29920,USA,,843-263-6243,,32.33524,-80.466244
MARIANNE'S  CHOCOLATES,1038 BRIDGE ST.,,ASHTABULA,OH,44004,USA,mywildflowerboutique.com,440-645-4976,,41.899506,-80.799232
MARIO PUCCI,3003 YAMATO ROAD C1,,BOCA RATON,FL,33434,USA,,561-982-8382,,26.394207,-80.146896
MARK'S WORK WEARHOUSE #833,2702-15TH AVE.,,WAINWRIGHT,AB,T9W 1L2,CANADA,,,,52.844601,-110.83238
MARLO MILLER BOUTIQUE,12349 KINGSRIDE LANE,,HOUSTON,TX,77024,USA,,713-532-8771,,29.778687,-95.546117
MARTODAM'S,115 CENTRE STREET,,MEADOW LAKE,SK,S9X 1Y2,CANADA,,,,54.126373,-108.433389
MASON'S ON MAIN ,339 3RD ST,,INTERNATIONALS FALLS,MN,56649,USA,,218-283-9750,,48.602394,-93.404902
MAYHOUSE COLLECTION,W359N5002 BROWN ST ,#106,OCONOMOWOC,WI,53066,USA,,,,43.110953,-88.461277
MCCRORY FLOWER SHOP & MARKET PLACE,107 N EDMONDS AVE,,MCCRORY,AR,72101,USA,,,,35.256687,-91.199647
MCKENZIE HONEY FARM & GIFTS,2536 WILLAKENZIE RD,,EUGENE,OR,97401,USA,,541-343-4868,,44.07959,-123.071305
MEGANS LIFESTYLE BOUTIQUE,4081 WALLER CREEK,#160,HIGHLAND VILLAGE,TX,75077,USA,,972-899-4060,,33.072969,-97.085374
MERCEDES LANE PARKSVILLE,119 CRAIG ST,,PARKSVILLE,BC,V9P 2H4,CANADA,,,,49.315364,-124.312521
MERCERIE CADIEUX,48 RUE DE LA MADONE,,MONT LAURIER,QC,J9L 1S5,CANADA,,,,46.553013,-75.495845
MI CASA,42 PINE ST. S.,,TIMMINS,ON,P4N 2J8,CANADA,,,,48.475989,-81.328148
MICHELLE'S FASHION,99 WASHINGTON ST,,FOXBOROUGH,MA,2035,USA,,,,42.084315,-71.279066
MILLER'S OF JOHNSTOWN,525 MAIN ST,,JOHNSTOWN,PA,15901,USA,,814-536-5341,,40.325062,-78.916957
MIMIBELLA,105 W. AUSTIN ST., SUITE A,ROUND TOP,TX,78954,USA,,,,30.065085,-96.696986
MINA BOUTIQUE,173 N MAIN STREET,,ST. GEORGE,UT,84770,USA,,435-619-2929,,37.111035,-113.583581
